,title,release_year,genre,ratings,metascore,nr_votes,100_ratings
0,Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy",8.8,71,363752,88.0
1,The Matrix,1999,"Action, Sci-Fi",8.7,73,1816000,87.0
2,It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6,89,436876,86.0
3,Avengers: Endgame,2019,"Action, Adventure, Drama",8.4,78,989844,84.0
4,Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",8.4,87,458360,84.0
5,The Shawshank Redemption,1994,Drama,9.3,80,2521380,93.0
6,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",8.8,92,1761828,88.0
7,The Godfather,1972,"Crime, Drama",9.2,100,1736131,92.0
8,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.4,68,964307,84.0
9,The Dark Knight,2008,"Action, Crime, Drama",9.0,84,2471671,90.0
10,Interstellar,2014,"Adventure, Drama, Sci-Fi",8.6,74,1667774,86.0
11,Inception,2010,"Action, Adventure, Sci-Fi",8.8,74,2216383,88.0
12,Joker,2019,"Crime, Drama, Thriller",8.4,59,1123200,84.0
13,Parasite,2019,"Comedy, Drama, Thriller",8.6,96,702501,86.0
14,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",8.9,94,1740673,89.0
15,Forrest Gump,1994,"Drama, Romance",8.8,82,1945906,88.0
16,Pulp Fiction,1994,"Crime, Drama",8.9,94,1943070,89.0
17,Goodfellas,1990,"Biography, Crime, Drama",8.7,90,1090983,87.0
18,Back to the Future,1985,"Adventure, Comedy, Sci-Fi",8.5,87,1134720,85.0
19,Fight Club,1999,Drama,8.8,66,1983095,88.0
20,Inglourious Basterds,2009,"Adventure, Drama, War",8.3,69,1360575,83.0
21,The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",8.7,87,1573045,87.0
22,Gladiator,2000,"Action, Adventure, Drama",8.5,67,1424662,85.0
23,Indiana Jones and the Raiders of the Lost Ark,1981,"Action, Adventure",8.4,85,929340,84.0
24,Django Unchained,2012,"Drama, Western",8.4,81,1457986,84.0
25,Se7en,1995,"Crime, Drama, Mystery",8.6,65,1547856,86.0
26,Schindler's List,1993,"Biography, Drama, History",8.9,94,1288736,89.0
27,The Dark Knight Rises,2012,"Action, Crime, Drama",8.4,78,1605798,84.0
28,Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",8.6,90,1296695,86.0
29,The Departed,2006,"Crime, Drama, Thriller",8.5,85,1261420,85.0
30,Hamilton,2020,"Biography, Drama, History",8.4,90,80156,84.0
31,The Green Mile,1999,"Crime, Drama, Fantasy",8.6,61,1226715,86.0
32,The Godfather: Part II,1974,"Crime, Drama",9.0,90,1204693,90.0
33,Singin' in the Rain,1952,"Comedy, Musical, Romance",8.3,99,232568,83.0
34,The Prestige,2006,"Drama, Mystery, Thriller",8.5,66,1267404,85.0
35,Saving Private Ryan,1998,"Drama, War",8.6,91,1316637,86.0
36,Léon: The Professional,1994,"Action, Crime, Drama",8.5,64,1102329,85.0
37,Coco,2017,"Animation, Adventure, Comedy",8.4,81,452290,84.0
38,The Silence of the Lambs,1991,"Crime, Drama, Horror",8.6,85,1356361,86.0
40,Whiplash,2014,"Drama, Music",8.5,88,782826,85.0
